t,g,z_hat,Ω,E,v_1,L_tilde,entry_residual,λ_ii,S,z_bar,c,π_min,log_M,U,π_rat,L_tilde_a,L_tilde_x,L_tilde_E,w,r
8.5,0.00809927690283766,1.8614869143704431,0.9484986467838467,0.01730163131427969,4.950471407214765,0.22599105716521165,0.0,0.8614311064258366,0.10574189637766622,1.358775634641606,1.051704492518618,0.18303017935688334,0.0679593550614023,23.300225820756648,2.2130924381079957,0.10029604562257415,0.02792573548564764,0.09776927605698987,0.930477562256545,0.04807427933218927
8.75,0.008105303169000093,1.8613282061285588,0.9480990783459173,0.017339089931935406,4.950471407214765,0.22614792453391033,0.0,0.8614023085024622,0.10577203855575747,1.3585330330863,1.051303607243075,0.1830640856829571,0.06998492772039165,23.395923357556814,2.2131998564282704,0.10028237226948249,0.027925878271754034,0.0979396739926738,0.9303114308526356,0.04809057176635787
9.0,0.008111322075820724,1.8611697323405845,0.9477015487593499,0.01737627283529124,4.950471407214765,0.22630346319759823,0.0,0.8613735456597693,0.1058021439238929,1.3582916841127,1.0509055719654978,0.183097951071377,0.07201200594881253,23.491723954336408,2.2133071510661635,0.10026885565873293,0.027926059597507595,0.0981085479413577,0.9301461572056235,0.0481068460105706
9.25,0.008117333599456402,1.8610114933542672,0.947306054247678,0.01741317998292022,4.950471407214765,0.22645767549047788,0.0,0.8613448179918255,0.10583221236281383,1.358051586105204,1.050510380719663,0.18313177541338366,0.07404058808763371,23.587627097087484,2.2134143216426594,0.1002554955057195,0.027926279393360058,0.0982759005913983,0.9299817402091586,0.04812308942305425
9.5,0.008123337932209342,1.8608534838913693,0.946912583462863,0.017449811402806145,4.950471407214765,0.22661056374834818,0.0,0.8613161245709614,0.10586224483437749,1.3578127331860983,1.050118024254111,0.18316555984818414,0.0760706722134931,23.683631698181827,2.213521371551205,0.10024229174729851,0.02792653778847078,0.09844173421257887,0.9298181758382343,0.04813931458901759
9.75,0.008129335015634577,1.8606957034517388,0.9465211324097969,0.01748616708937679,4.950471407214765,0.226762130299557,0.0,0.8612874653364904,0.10589224104625383,1.3575751236918745,1.0497284966018203,0.18319930428233863,0.0781022563393701,23.779739383748037,2.2136283011375655,0.10022924390851135,0.027926834769732706,0.09860605162131292,0.9296554629536949,0.04815551639255719
10.0,0.008135324942739231,1.8605381507488674,0.9461316942034987,0.017522247015272614,4.950471407214765,0.22691237740825201,0.0,0.8612588400847144,0.10592220146364589,1.3573387541483086,1.049341790496161,0.18323300916795207,0.0801353393170556,23.875947522349293,2.2137351109496826,0.1002163519245636,0.0279271702974945,0.09876885518619392,0.9294935991764225,0.04817321599791477
10.5,0.008147239234642537,1.8602249220838463,0.9453588246386831,0.017593861306720606,4.950471407214765,0.22721020826980873,0.0,0.8612019086367908,0.10598179436888784,1.3568695601899938,1.0485749448242616,0.18330004429274063,0.084205981864012,24.068665982209883,2.2139475612354644,0.10019082455767042,0.027927866697010282,0.099091517015128,0.9291722992948027,0.04820539475954105
11.0,0.008159125712082172,1.8599125886130035,0.9445939194178441,0.017664375958256113,4.950471407214765,0.22750280408006976,0.0,0.8611451108345334,0.10604124815174543,1.3564052811905278,1.0478192762506673,0.18336692349883013,0.08828257153042594,24.261784555565196,2.214159540790333,0.10016591821161742,0.02792871665327173,0.09940816921518059,0.9288543651336238,0.048237484582495924
11.5,0.008170987531027215,1.8596011341540917,0.9438369260387384,0.017733788643215044,4.950471407214765,0.2277901825337025,0.0,0.8610884439659066,0.10610057859774472,1.355945891555014,1.0470747294118734,0.18343364985843102,0.09236510308208659,24.45529944927778,2.214371059646709,0.10014164395462692,0.027929720351768317,0.09971881822730727,0.9285397791657267,0.04826948699693609
12.0,0.00818281850404806,1.8592905421792558,0.9430877897537414,0.01780210497121488,4.950471407214765,0.2280723608962475,0.0,0.8610319052495172,0.1061597547586004,1.3554913641309054,1.0463412485390948,0.18350022700346968,0.09645355677839734,24.649206773062396,2.2145821276814677,0.10011796847608768,0.02793087793177732,0.1000235144883825,0.9282285227972867,0.04830139532424779
12.5,0.008194619911606107,1.858980792650725,0.9423464549787116,0.017869324330512575,4.950471407214765,0.22834935633435255,0.0,0.8609754912580329,0.10621878303892422,1.3550416715558307,1.0456187780498316,0.1835666586522543,0.10054791686860164,24.843502985306916,2.21479275778237,0.10009489364888315,0.027932189765760337,0.10032227291970908,0.9279205772907934,0.04833321321099829
13.0,0.008206406346339686,1.858671866469348,0.9416128674034526,0.0179354348355349,4.950471407214765,0.2286211852765483,0.0,0.8609191987274141,0.10627773642817465,1.3545967870682885,1.0449072640369323,0.18363294852310605,0.10464817200614017,25.038184090239326,2.2150029620656557,0.1000724841392819,0.02793365618783061,0.10061504494943578,0.927615924320207,0.048364957780183924
13.5,0.00821816907073793,1.8583637473742414,0.9408869755529732,0.01800044411525344,4.950471407214765,0.22888786380069834,0.0,0.8608630249037984,0.10633657122306978,1.3541566852939848,1.04420665434561,0.18369910001024717,0.10875431955184996,25.233246357227355,2.2152127505056782,0.10005069488874745,0.02793527739744366,0.10090189151450721,0.9273145465094348,0.0483966189659077
14.0,0.008229890912727472,1.858056418146936,0.940168726236519,0.018064366963399824,4.950471407214765,0.22914940769489583,0.0,0.8608069668522861,0.10639520153233308,1.353721339735697,1.043516896551321,0.18376511690836958,0.11286633674398072,25.428685898730038,2.2154221335940893,0.10002944110233132,0.027937053609822408,0.10118291298274208,0.9270164257134127,0.04842817957447191
14.5,0.008241594380752039,1.8577498581142697,0.9394580658376412,0.01812718488444424,4.950471407214765,0.22940583262868866,0.0,0.8607510210007047,0.10645373993869835,1.3532907239572303,1.042837938639141,0.18383100302367425,0.11698420670158484,25.62449883555897,2.2156311248597436,0.10000882462399281,0.027938985282109266,0.1014580227225866,0.9267215438288677,0.04845966322326147
15.0,0.008253297664916623,1.8574440463720037,0.9387549404859055,0.018188882959028003,4.950471407214765,0.22965715354185065,0.0,0.860695183726798,0.10651227742543276,1.3528648112723916,1.0421697295886412,0.18389676241158162,0.12110793019498244,25.820681248845872,2.2158397378588592,0.09998892665553039,0.027941072876265287,0.10172715401005497,0.9264298825813304,0.048491091122759726
15.5,0.008264962650831518,1.8571389658443171,0.9380592991277075,0.01824949342999558,4.950471407214765,0.22990338476574584,0.0,0.8606394520999229,0.10657062335198189,1.3524435762471156,1.0415122203632137,0.1839623989045992,0.1252374984513641,26.017229465594887,2.2160479830501245,0.09996956424916303,0.027943316645111457,0.10199050387147138,0.9261414245537773,0.048522424851355064
16.0,0.008276596333696939,1.8568345981552845,0.9373710908872116,0.01830901072560004,4.950471407214765,0.23014454069823326,0.0,0.8605838229452555,0.10662881270693815,1.3520269936297913,1.0408653621692499,0.18402791626645668,0.12937288854882062,26.21413935498262,2.2162558721245276,0.09995076648711078,0.02794571693979204,0.10224805727133043,0.9258561524541281,0.04855367056187762
16.5,0.008288228005816084,1.8565309222504882,0.9366902629642155,0.01836741059867573,4.950471407214765,0.23038063532026037,0.0,0.8605282925911121,0.1066869920045437,1.3516150371387947,1.0402291061743418,0.1840933186661824,0.13351409282338011,26.411406769401815,2.216463418795202,0.09993266659559719,0.027948274251063637,0.10249969447359956,0.9255740482849587,0.04858485878798175
17.0,0.008299849904261592,1.856227916961581,0.9360167631077381,0.018424699871025654,4.950471407214765,0.2306116821370789,0.0,0.8604728573370681,0.10674512241618844,1.3512076807657158,1.0396034045877929,0.18415861030753589,0.13766111399057088,26.6090279895444,2.216670636889608,0.09991522396153996,0.027950989090114713,0.10274546908542423,0.9252950942359394,0.048615983161991574
17.5,0.0083114267975797,1.8559255631001823,0.9353505400269461,0.018480908383482566,4.950471407214765,0.23083769411983665,0.0,0.8604175138373041,0.10680302772118695,1.3508048987733368,1.0389882107347204,0.18422379544359882,0.1418139365315894,26.806999077921382,2.21687753850589,0.0998982696555251,0.027953861843269454,0.10298556262104208,0.9250192726824504,0.04864700968400564
18.0,0.008323000774216351,1.8556238415756852,0.934691544982459,0.018536001068857683,4.950471407214765,0.231058684516058,0.0,0.8603622587567561,0.10686091843752815,1.350406667005009,1.0383834789651172,0.18428887779437217,0.14597253981078742,27.005315884364528,2.217084136167073,0.09988199695261772,0.027956892961428313,0.10321979460201197,0.9247465670822324,0.048677978589831264
18.5,0.008334635928961326,1.8553227316063057,0.9340397264067712,0.018589924475966645,4.950471407214765,0.23127466613639108,0.0,0.860307088443327,0.10691911515453155,1.3500129595469408,1.0377891630479208,0.18435386170619977,0.15013694818489998,27.203974339013,2.2172904433659557,0.09986670106659272,0.027960082934264316,0.10344788213553403,0.9244769596897491,0.04870895252292643
19.0,0.008346278807300475,1.8550222138963552,0.9333950328722705,0.01864272397649039,4.950471407214765,0.23148565208434368,0.0,0.8602519995097303,0.10697735050340831,1.3496237502803718,1.0372052163782026,0.1844187515177893,0.15430717777994596,27.402970385653568,2.2174964723443047,0.0998521275897172,0.02796343213949696,0.10367009235512949,0.9242104326191041,0.048739882154463066
19.5,0.008357903510929987,1.8547222629661526,0.9327574137271665,0.0186944215707005,4.950471407214765,0.231691654434381,0.0,0.8601969874271176,0.10703549494602241,1.3492390143218518,1.0366315948662084,0.18448355144965797,0.15848322321105507,27.602299927026444,2.2177022409096154,0.09983815144285905,0.027966941440392135,0.1038865615511298,0.9239469688303303,0.04877073905484656
20.0,0.008369512279429942,1.8544229107861117,0.9321268212549504,0.018745015909309888,4.950471407214765,0.23189268281201791,0.0,0.8601420582016353,0.10709355968430548,1.3488587210342977,1.0360682534792671,0.18454826802215302,0.1626650821286211,27.80195846613767,2.2179077145059507,0.09982477936540897,0.027970607450670665,0.10409729599593824,0.9236865473434237,0.048804094066161645
21.0,0.008392510698392128,1.8538302851759716,0.9308865166696705,0.01884400873333318,4.950471407214765,0.23228490678036923,0.0,0.860033235679645,0.10720859317627054,1.3481107828314738,1.0349649953118545,0.18467642805559023,0.17104610118884148,28.202250605795832,2.218314914120066,0.0997990338589143,0.027978082125651976,0.10450779079580294,0.9231743658633181,0.04886604802358638
22.0,0.00841546634360424,1.8532393805919964,0.9296737204950268,0.018938465630563867,4.950471407214765,0.23265678182625738,0.0,0.8599246239337246,0.10732341272249249,1.3473803676553142,1.0339031874207494,0.18480443178372108,0.17945007472165322,28.6038164757338,2.218721351646405,0.09977575640194289,0.027986221522790247,0.10489480390152425,0.9226741839972167,0.048928389975394206
23.0,0.00843846510479257,1.8526478909845696,0.9284880477278681,0.019028229439753738,4.950471407214765,0.2330080737403923,0.0,0.8598157992874592,0.10743844792620427,1.346667564761684,1.032883149527899,0.1849323073201657,0.18787705241129596,29.006620578459234,2.2191290279691795,0.09975531476591362,0.027995191905528495,0.10525756706895022,0.9221860628667481,0.04898865646858474
24.0,0.008461305034997783,1.852060619382294,0.9273291074106009,0.01911373844085708,4.950471407214765,0.23333996100552432,0.0,0.8597076462770942,0.10755268868910473,1.3459715147002926,1.0319025739455798,0.18506002508637506,0.19632697053658307,29.41062722254328,2.21953373859935,0.09973673880167772,0.028004622068131618,0.10559860013571497,0.9217094139279387,0.04904466951639347
25.0,0.008484006817310378,1.8514775790449791,0.9261965218542084,0.019195520051862692,4.950471407214765,0.233655497444522,0.0,0.8596001694787755,0.10766623846387585,1.345292000317362,1.0309571287750727,0.185186910020608,0.20479961102162847,29.815804804963456,2.2199360547583558,0.0997200955863676,0.028014502666122067,0.10592089919203232,0.921244088475798,0.04910426845574613
26.0,0.008506738468078031,1.8508942306804244,0.9250899082201395,0.019272893312425897,4.950471407214765,0.2339520826971923,0.0,0.859492533054579,0.1077799376346855,1.3446294047750784,1.0300505550720627,0.18531347208172255,0.2132949808165925,30.222120590201172,2.2203395251698415,0.09970613261444357,0.028025168879740894,0.10622078120300783,0.9207903488964091,0.049170586121516154
27.0,0.008529150171195769,1.8503193344756315,0.9240189618785442,0.01934543254075974,4.950471407214765,0.23422768551254786,0.0,0.8593863554251494,0.1078920364913398,1.3439890896972269,1.0291896358633295,0.18543859311461877,0.2218129856752682,30.629536196552607,2.220737389191379,0.09969428755368981,0.02803625461510377,0.10649714334375432,0.9203518667824193,0.04924039987750363
28.0,0.008550845191208939,1.849763302612512,0.9229967410101684,0.019413225999922352,4.950471407214765,0.23448364687184994,0.0,0.8592835666030526,0.10800055064244167,1.3433784635595007,1.0283781822949665,0.18555971784311615,0.2303530458827471,31.038005260744285,2.2211226555810053,0.09968415627027731,0.028047370584216278,0.10675212001735634,0.9199337153925974,0.0493080559077782
29.0,0.008571826640664163,1.8492259845683632,0.9220220736713565,0.019476426404255325,4.950471407214765,0.2347207092810884,0.0,0.8591841481672245,0.10810549565632682,1.342796819528271,1.0276145976282056,0.1856768632008761,0.23891444013695465,31.44748315729843,2.221495388117782,0.09967565328031627,0.028058496136096397,0.10698655986467577,0.9195354106935125,0.04937270512536336
30.0,0.008592078933249005,1.8487077906140295,0.9210936679813768,0.019535319754434472,4.950471407214765,0.23494017215075735,0.0,0.8590881851928378,0.10820679357337767,1.3422432911108984,1.0268964212291047,0.1857899595658756,0.24749645168950687,31.85792366519651,2.2218552315468934,0.09966859239300611,0.02806956404051064,0.1072020157172406,0.919156359318653,0.04943473972242132
31.0,0.008611607064069,1.8482084683727418,0.920210251284972,0.019590120150940606,4.950471407214765,0.23514307351634248,0.0,0.8589956398359501,0.10830446937811312,1.3417171084187294,1.0262216237556896,0.18589897216262533,0.25609836031348004,32.269284755195024,2.2222023888378137,0.09966288298171903,0.028080557556885988,0.10739963297773747,0.9187960340550637,0.049494624783239946
